"","stressor.year","stressor.months","stressor.state","stressor.stressor","stressor.stress_pct"
"1",2015,"January-March","Alabama","Varroa mites",10
"2",2015,"January-March","Alabama","Other pests/parasites",5.4
"3",2015,"January-March","Alabama","Disesases",NA
"4",2015,"January-March","Alabama","Pesticides",2.2
"5",2015,"January-March","Alabama","Other",9.1
"6",2015,"January-March","Alabama","Unknown",9.4
"7",2015,"January-March","Arizona","Varroa mites",26.9
"8",2015,"January-March","Arizona","Other pests/parasites",20.5
"9",2015,"January-March","Arizona","Disesases",0.1
"10",2015,"January-March","Arizona","Pesticides",NA
"11",2015,"January-March","Arizona","Other",1.8
"12",2015,"January-March","Arizona","Unknown",3.1
"13",2015,"January-March","Arkansas","Varroa mites",17.6
"14",2015,"January-March","Arkansas","Other pests/parasites",11.4
"15",2015,"January-March","Arkansas","Disesases",1.5
"16",2015,"January-March","Arkansas","Pesticides",3.4
"17",2015,"January-March","Arkansas","Other",1
"18",2015,"January-March","Arkansas","Unknown",1
"19",2015,"January-March","California","Varroa mites",24.7
"20",2015,"January-March","California","Other pests/parasites",7.2
"21",2015,"January-March","California","Disesases",3
"22",2015,"January-March","California","Pesticides",7.5
"23",2015,"January-March","California","Other",6.5
"24",2015,"January-March","California","Unknown",2.8
"25",2015,"January-March","Colorado","Varroa mites",14.6
"26",2015,"January-March","Colorado","Other pests/parasites",0.9
"27",2015,"January-March","Colorado","Disesases",1.8
"28",2015,"January-March","Colorado","Pesticides",0.6
"29",2015,"January-March","Colorado","Other",2.6
"30",2015,"January-March","Colorado","Unknown",5.9
"31",2015,"January-March","Connecticut","Varroa mites",2.5
"32",2015,"January-March","Connecticut","Other pests/parasites",1.4
"33",2015,"January-March","Connecticut","Disesases",NA
"34",2015,"January-March","Connecticut","Pesticides",NA
"35",2015,"January-March","Connecticut","Other",21.2
"36",2015,"January-March","Connecticut","Unknown",2.4
"37",2015,"January-March","Florida","Varroa mites",22.3
"38",2015,"January-March","Florida","Other pests/parasites",13.5
"39",2015,"January-March","Florida","Disesases",0.8
"40",2015,"January-March","Florida","Pesticides",8.9
"41",2015,"January-March","Florida","Other",5.1
"42",2015,"January-March","Florida","Unknown",4.4
"43",2015,"January-March","Georgia","Varroa mites",6.2
"44",2015,"January-March","Georgia","Other pests/parasites",4.9
"45",2015,"January-March","Georgia","Disesases",3.3
"46",2015,"January-March","Georgia","Pesticides",2.6
"47",2015,"January-March","Georgia","Other",4.8
"48",2015,"January-March","Georgia","Unknown",10.5
"49",2015,"January-March","Hawaii","Varroa mites",38.8
"50",2015,"January-March","Hawaii","Other pests/parasites",37.7
"51",2015,"January-March","Hawaii","Disesases",1.6
"52",2015,"January-March","Hawaii","Pesticides",NA
"53",2015,"January-March","Hawaii","Other",2
"54",2015,"January-March","Hawaii","Unknown",NA
"55",2015,"January-March","Idaho","Varroa mites",39.8
"56",2015,"January-March","Idaho","Other pests/parasites",6.7
